"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation","Symbol","GeneType","Description"
"9636",985.627404189307,2.00324172796074,0.420192935433846,4.76743314566297,1.86587880598192e-06,0.000125170429365974,"Up","ISG15","protein-coding","ISG15 ubiquitin like modifier"
"3604",179.916361036987,1.95788715172994,0.384159094547533,5.09655291132952,3.45893918236316e-07,3.66629060312791e-05,"Up","TNFRSF9","protein-coding","TNF receptor superfamily member 9"
"107984915",20.9842651118858,-3.5739457743115,0.771495291237665,-4.63249201246326,3.6129027899052e-06,0.00019919241200723,"Down","LOC107984915","ncRNA","uncharacterized LOC107984915"
"116362",353.293906977244,-2.1013024716393,0.478303406063538,-4.39324170599814,1.11672849946957e-05,0.000441547889852094,"Down","RBP7","protein-coding","retinol binding protein 7"
"105376759",54.1368872669445,-1.60871754720638,0.364410163836448,-4.41457924847671,1.01206636830544e-05,0.00040837037593044,"Down","LOC105376759","ncRNA","uncharacterized LOC105376759"
"1043",241.388548551925,1.95238065604511,0.458101229356995,4.26189787524807,2.02698075822852e-05,0.000661405889757677,"Up","CD52","protein-coding","CD52 molecule"
"2537",3290.17937657901,1.83941823850422,0.347472854758192,5.29370341687346,1.19863773258488e-07,1.67560385109215e-05,"Up","IFI6","protein-coding","interferon alpha inducible protein 6"
"7805",4832.49179717613,1.33595055977781,0.285347625673037,4.68183520583626,2.84318008434702e-06,0.000167626222765259,"Up","LAPTM5","protein-coding","lysosomal protein transmembrane 5"
"149086",13.9215512678296,2.93944204108668,0.680810980037812,4.31755968583736,1.57763755108687e-05,0.000556755004761255,"Up","LDC1P","pseudo","leucine decarboxylase 1, pseudogene"
"284551",12.3065078170121,2.83430396661222,0.642812955423773,4.40922035359992,1.03743425456659e-05,0.000417289985854127,"Up","LINC01226","ncRNA","long intergenic non-protein coding RNA 1226"
"105378626",78.6717245017448,-2.11304609712249,0.415712322985975,-5.08295275431076,3.71612159789384e-07,3.86446433810245e-05,"Down","LOC105378626","ncRNA","uncharacterized LOC105378626"
"64129",1414.18161931489,-2.02451083325295,0.446956834779956,-4.52954441170958,5.91110086219125e-06,0.000282650060292666,"Down","TINAGL1","protein-coding","tubulointerstitial nephritis antigen like 1"
"9132",61.8118183428414,-1.888233457825,0.335340344793031,-5.63079715025162,1.79378601302884e-08,4.58886337853039e-06,"Down","KCNQ4","protein-coding","potassium voltage-gated channel subfamily Q member 4"
"200010",104.316990410049,-1.57010844811324,0.331419083614932,-4.73753180108817,2.16336916594786e-06,0.000138705037602201,"Down","SLC5A9","protein-coding","solute carrier family 5 member 9"
"55268",1823.66929566623,-1.01666500733139,0.205308507596672,-4.95188932612877,7.34964021882912e-07,6.57407328944359e-05,"Down","ECHDC2","protein-coding","enoyl-CoA hydratase domain containing 2"
"105378741",14.4380097800917,-2.38477821044748,0.530913650510323,-4.49183818904485,7.06110643830904e-06,0.000318842250749831,"Down","LOC105378741","ncRNA","uncharacterized LOC105378741"
"105378744",13.4410002271504,-2.39201854914004,0.484634230531302,-4.93571934965815,7.98558721145612e-07,7.06876443056991e-05,"Down","LINC01767","ncRNA","long intergenic non-protein coding RNA 1767"
"57685",1032.22107292851,-1.33836222838977,0.316542037918002,-4.22807105556218,2.35703361323728e-05,0.000726477516793205,"Down","CACHD1","protein-coding","cache domain containing 1"
"101927084",69.3577073739645,-1.59291165679646,0.379340585163193,-4.19915959193027,2.67907455343357e-05,0.000791409760114754,"Down","LINC01359","ncRNA","long intergenic non-protein coding RNA 1359"
"10561",2508.37217042145,1.2915885549292,0.217719885352197,5.93234078200919,2.98645948220806e-09,1.23531550287016e-06,"Up","IFI44","protein-coding","interferon induced protein 44"
"255231",360.592925397949,1.72548866364947,0.384185491418425,4.49129054113656,7.07929006433836e-06,0.000318842250749831,"Up","MCOLN2","protein-coding","mucolipin TRP cation channel 2"
"255631",172.106485811593,1.31931085393164,0.216661250322918,6.08927924105165,1.13420141722323e-09,6.30763927291403e-07,"Up","COL24A1","protein-coding","collagen type XXIV alpha 1 chain"
"1301",4245.07741941158,3.34062827412017,0.688329621290567,4.85323916157602,1.2146106429981e-06,9.19294954709393e-05,"Up","COL11A1","protein-coding","collagen type XI alpha 1 chain"
"3749",1025.91111207709,-1.61488939315985,0.332920095654515,-4.85068163273534,1.23037902816491e-06,9.25317454880396e-05,"Down","KCNC4","protein-coding","potassium voltage-gated channel subfamily C member 4"
"963",1354.35056113085,1.35449291328765,0.291583076606395,4.64530702210838,3.39571065965731e-06,0.000190502346700336,"Up","CD53","protein-coding","CD53 molecule"
"829",4069.69492703457,1.04798705625603,0.175405580414864,5.97465059992599,2.30583838987234e-09,1.07250832163117e-06,"Up","CAPZA1","protein-coding","capping actin protein of muscle Z-line subunit alpha 1"
"333926",142.498578537152,1.37643468771017,0.252551427310015,5.45011644705757,5.03368504197369e-08,9.00501613592804e-06,"Up","PPM1J","protein-coding","protein phosphatase, Mg2+/Mn2+ dependent 1J"
"26191",461.626908557,1.14174951827547,0.237090703390164,4.81566548982971,1.46710116614986e-06,0.000106321195559336,"Up","PTPN22","protein-coding","protein tyrosine phosphatase non-receptor type 22"
"914",561.501941707957,1.76280229170559,0.37530563177232,4.69697798932844,2.64038891887952e-06,0.000161594328523387,"Up","CD2","protein-coding","CD2 molecule"
"128102",89.8955164045762,-2.2805354786394,0.386708873021239,-5.89729286742833,3.69513676909339e-09,1.4322574064689e-06,"Down","HSD3BP4","pseudo","hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 4"
"644242",40.3940089220681,-1.672983661326,0.394859091384381,-4.2369131111063,2.26613779740464e-05,0.00070525957582975,"Down","LINC00622","ncRNA","long intergenic non-protein coding RNA 622"
"26227",830.565617959822,-1.36175521055082,0.266310305299977,-5.1134153784132,3.16385523072719e-07,3.44415934095587e-05,"Down","PHGDH","protein-coding","phosphoglycerate dehydrogenase"
"100996732",80.8907747175917,-1.15261523249403,0.260254873326405,-4.42879404240185,9.47614601314325e-06,0.000389740783453747,"Down","LINC02802","ncRNA","long intergenic non-protein coding RNA 2802"
"112268238",630.290898419997,1.55426252083807,0.326473517045798,4.76076140846681,1.92863945615751e-06,0.000126623102321254,"Up","LOC112268238","","replaced by ID 554313"
"112268240",26.0034596191245,-1.9010593280001,0.444581500962399,-4.27606484724357,1.90225834738375e-05,0.000631174747636461,"Down","CCDST","ncRNA","cervical cancer associated DHX9 suppressive transcript"
"7170",7561.00260860498,1.09307920529421,0.255758645801837,4.27387000688585,1.92109065043121e-05,0.000635774139965476,"Up","TPM3","protein-coding","tropomyosin 3"
"10763",3426.75522027737,-1.67657035808796,0.313814324182588,-5.34255522737859,9.16454365217171e-08,1.36306602156893e-05,"Down","NES","protein-coding","nestin"
"115352",173.87094597252,2.46232511101958,0.566419019855475,4.34717942848716,1.37899406370955e-05,0.000509071006226269,"Up","FCRL3","protein-coding","Fc receptor like 3"
"115350",165.300634728901,2.50167780247992,0.595370015557957,4.20188746007883,2.64698723996808e-05,0.000785437414590472,"Up","FCRL1","protein-coding","Fc receptor like 1"
"100505785",37.2422957039179,-1.79582580558069,0.379520817786743,-4.73182424103488,2.22511039434627e-06,0.000141598940567578,"Down","KIRREL1-IT1","ncRNA","KIRREL1 intronic transcript 1"
"477",531.52128486625,-2.84820474835656,0.652147320585378,-4.36742536302989,1.25719737132969e-05,0.000481461424451441,"Down","ATP1A2","protein-coding","ATPase Na+/K+ transporting subunit alpha 2"
