"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation","Symbol","GeneType","Description"
"26047",174.490754332055,2.56550773756571,0.292506278743751,8.77077835246472,1.77435419815108e-18,4.53915290971008e-14,"Up","CNTNAP2","protein-coding","contactin associated protein 2"
"1311",813.26184919992,4.1388544188937,0.513040386362192,8.0673072313878,7.18655454229955e-16,9.19232191505535e-12,"Up","COMP","protein-coding","cartilage oligomeric matrix protein"
"131578",2171.35645977855,3.84553729979373,0.482981779709886,7.96207530251688,1.69177459573695e-15,1.44263259027143e-11,"Up","LRRC15","protein-coding","leucine rich repeat containing 15"
"10261",646.554361819483,1.21456756426604,0.154360010528546,7.86840814604265,3.591821250908e-15,2.29714928101821e-11,"Up","IGSF6","protein-coding","immunoglobulin superfamily member 6"
"8537",328.294828106605,1.97546759567796,0.265813679003713,7.43177553195209,1.07149524141589e-13,5.48219825318025e-10,"Up","BCAS1","protein-coding","brain enriched myelin associated protein 1"
"4148",235.486430822307,2.31179183896276,0.317137539392256,7.28955595541589,3.10978258811319e-13,1.10338599889009e-09,"Up","MATN3","protein-coding","matrilin 3"
"202309",223.938034494506,2.18798094715144,0.300731287620599,7.27553479540772,3.45050738453627e-13,1.10338599889009e-09,"Up","GAPT","protein-coding","GRB2 binding adaptor protein, transmembrane"
"54809",2396.0628057216,1.42400980705285,0.195316383284726,7.29078525367212,3.08153613485816e-13,1.10338599889009e-09,"Up","SAMD9","protein-coding","sterile alpha motif domain containing 9"
"105374986",93.017543272473,2.0586377361869,0.299280851616503,6.87861493666434,6.04372781415612e-12,1.71789605490824e-08,"Up","LOC105374986","ncRNA","uncharacterized LOC105374986"
"114904",699.898775302422,1.0737500383624,0.156956493205026,6.84106797008906,7.86049468981488e-12,2.01087175154844e-08,"Up","C1QTNF6","protein-coding","C1q and TNF related 6"
"100132529",126.808700506399,-4.43994337152204,0.650979944122161,-6.82039963229476,9.07875985209824e-12,2.11138940487616e-08,"Down","TAT-AS1","ncRNA","TAT antisense RNA 1"
"100507500",110.4605926053,-2.48957815971103,0.365709916279831,-6.80752161449751,9.92943964949494e-12,2.1167910426115e-08,"Down","EGFR-AS1","ncRNA","EGFR antisense RNA 1"
"6898",995.01361562683,-4.9314940801169,0.734529229947063,-6.71381597771448,1.8959939732368e-11,3.73102444794952e-08,"Down","TAT","protein-coding","tyrosine aminotransferase"
"92304",457.264365293207,-4.3760771299407,0.660553077138143,-6.62486828295483,3.47557951968895e-11,6.35087680519162e-08,"Down","SCGB3A1","protein-coding","secretoglobin family 3A member 1"
"23213",7683.91235727571,2.46774036408526,0.374530964490985,6.58888209000048,4.43150533335268e-11,7.55778462918856e-08,"Up","SULF1","protein-coding","sulfatase 1"
"100287290",895.02158050734,-1.22295742832108,0.186166867662224,-6.56914650645561,5.06044761168165e-11,8.03537419409991e-08,"Down","LOC100287290","ncRNA","uncharacterized LOC100287290"
"64344",202.34647278627,-3.78137652568111,0.576329069737002,-6.56114141076846,5.33974518410204e-11,8.03537419409991e-08,"Down","HIF3A","protein-coding","hypoxia inducible factor 3 subunit alpha"
"7436",1063.42583291855,-1.86359693044018,0.285333875052762,-6.53128525344417,6.52076687927758e-11,9.06788137208172e-08,"Down","VLDLR","protein-coding","very low density lipoprotein receptor"
"10308",948.300697615249,1.05008058688457,0.160896204693878,6.52644721410592,6.73480361463344e-11,9.06788137208172e-08,"Up","ZNF267","protein-coding","zinc finger protein 267"
"105374839",95.4603560729781,-2.36388439035447,0.364280880397082,-6.4891805130638,8.63045122278563e-11,1.05738113584779e-07,"Down","LOC105374839","",""
"79628",134.229690972285,-2.10552030591779,0.324736590560452,-6.48377906008048,8.94531893190262e-11,1.05738113584779e-07,"Down","SH3TC2","protein-coding","SH3 domain and tetratricopeptide repeats 2"
"165",12514.9775647374,1.09297734275351,0.169080918783644,6.46422642256921,1.01818320906259e-10,1.05738113584779e-07,"Up","AEBP1","protein-coding","AE binding protein 1"
"115908",1388.66244502137,2.59700429961536,0.401889029407258,6.46199350961545,1.03332532234363e-10,1.05738113584779e-07,"Up","CTHRC1","protein-coding","collagen triple helix repeat containing 1"
"6289",425.100644831861,-2.73198277678994,0.422131990030523,-6.47186861292461,9.67982765684941e-11,1.05738113584779e-07,"Down","SAA2","protein-coding","serum amyloid A2"
"105372669",46.5693269473561,-2.37267095029732,0.36792250154261,-6.44883349169808,1.12714312276428e-10,1.10902212948292e-07,"Down","LOC105372669","ncRNA","uncharacterized LOC105372669"
"27334",601.793341830261,2.43314351015592,0.378862028384736,6.42224168130424,1.34281999543179e-10,1.27229707863467e-07,"Up","P2RY10","protein-coding","P2Y receptor family member 10"
"101929415",113.173439431509,-4.56743956660297,0.712822359420512,-6.40754250514261,1.47883866870144e-10,1.35113038652572e-07,"Down","PENK-AS1","ncRNA","PENK antisense RNA 1"
"79666",1535.71342950223,1.50194993152847,0.235447822462627,6.37912007772711,1.78108349290784e-10,1.57116130743339e-07,"Up","PLEKHF2","protein-coding","pleckstrin homology and FYVE domain containing 2"
"147495",818.930101082671,-1.9388978157073,0.304515206769149,-6.36716253443844,1.92557097145218e-10,1.64199855305632e-07,"Down","APCDD1","protein-coding","APC down-regulated 1"
"1295",2305.57879560529,1.95808946598069,0.307869589735348,6.36012627185398,2.01587961285702e-10,1.6635558792293e-07,"Up","COL8A1","protein-coding","collagen type VIII alpha 1 chain"
