"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100287102",16.1524770486919,-0.562602891814328,0.404258190216869,-1.3916920063203,0.164015683975889,0.323479240418717
"653635",465.052015353064,-0.272842573261763,0.164683407779498,-1.65677026569115,0.0975659307363087,0.229173780194312
"102466751",33.9226196325006,-0.258867671847897,0.281325876087151,-0.920170143779104,0.3574838537102,0.536561367379391
"100996442",114.290229827352,-0.632446595754324,0.213789952657945,-2.95826154546285,0.00309379501338876,0.0218754737513851
"729737",382.70237411991,-0.464161906318887,0.265996196834964,-1.74499452188361,0.0809858225379887,0.202144532360896
"102725121",12.5287730754521,-0.871944063616796,0.428211957721359,-2.03624407934955,0.0417258520254675,0.129684211701556
"102723897",421.802734922966,-0.213609917696399,0.141321294005961,-1.51151968426915,0.130656097294975,0.278722838642432
"102465909",11.0619373333365,-0.142186020140923,0.420268162596689,-0.338322130475946,0.735120448275621,0.840543926409951
"112268260",27.019322196177,0.180915941336139,0.485746864333039,0.372449015362247,0.709558565594488,0.823141992791502
"100132287",251.408119650412,-0.507846619036767,0.158916747856442,-3.19567714471184,0.00139503117245204,0.0124651370777744
"113219467",946.05574268036,-0.275474811471472,0.282997963033173,-0.973416234233393,0.330346473631296,0.510475595797995
"81399",24.2409008046207,-0.0496153620252333,0.514088332800458,-0.0965113558499905,0.923114455364345,0.957667139670331
"100133331",243.786645497189,-0.480876122163411,0.209475327559763,-2.29562176971041,0.0216975169326535,0.0835775771505187
"107984841",123.332081266443,-0.272198322631365,0.341102624034157,-0.797995393328044,0.424873163413309,0.600277158638136
"107984847",142.034412402512,-0.30311758956507,0.368318510136632,-0.822976801933265,0.410521185584749,0.5867012832195
"107984849",36.9838279237498,-0.413188468013825,0.315354926116808,-1.3102331176548,0.19011698543916,0.35581042662262
"100288069",226.644518148057,-0.462328536686795,0.256319434874797,-1.80372017795929,0.0712751846808568,0.185603721589441
"105378580",176.919419309781,-0.452595623778741,0.22003729940768,-2.0569041021549,0.0396954513213319,0.125407107785806
"400728",71.5986545759279,-0.362167442708274,0.295853285083628,-1.22414541588038,0.220897376036825,0.392457578566155
"79854",66.5270384047241,0.270314771139659,0.257848744133632,1.04834627776805,0.294479095315677,0.473730031796368
"643837",435.15884371405,-0.30644574263944,0.307289273753899,-0.99725492821746,0.318640785227596,0.498957493278593
"284600",52.1870313657459,0.100700912546471,0.66494113173235,0.151443350006215,0.87962599542691,0.933640038793926
"100130417",58.113969980742,0.766026405573483,0.492436132523994,1.5555852931571,0.119806738117173,0.262810493441393
"107985728",91.5219270212829,1.28683076570423,0.438765168392805,2.93284622026376,0.00335870206587663,0.0231067208659881
"148398",255.180466924195,0.728157163590797,0.40710590868438,1.78861850947814,0.0736762748688268,0.189540070765721
"26155",1289.52991317437,0.321783794883525,0.284884896399382,1.12952212964079,0.258677639609484,0.435103647609299
"339451",218.522440733581,0.124106858899603,0.318003298715121,0.390269092808318,0.696337575249618,0.813708562490213
"84069",211.72167078779,0.384999857212226,0.375113897049664,1.02635455588374,0.304724490367897,0.484400789945414
