"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cellular Response To Lipopolysaccharide (GO:0071222)","10/124",1.55357910956699e-05,0.000956646213237213,0,0,6.02985534010465,66.7647537536017,"CD86;CXCL10;CXCL11;CXCL9;TGFB1;CD6;CARD17P;CD80;PTPN22;CCR5"
"Regulation Of Immune Response (GO:0050776)","8/77",1.77512441714294e-05,0.00105258303401698,0,0,7.93253547442307,86.7744414501901,"SPN;FCGR3A;RSAD2;SH2D1A;IRF7;PTPN22;FOXP3;CD22"
"Negative Regulation Of Lymphocyte Proliferation (GO:0050672)","6/39",2.12018356932748e-05,0.00121229067660475,0,0,12.3762189367726,133.185724529243,"CD86;SPN;CD80;CTLA4;SOX11;FOXP3"
"Regulation Of B Cell Activation (GO:0050864)","5/25",2.81443441639054e-05,0.00155376189677285,0,0,16.9698275862069,177.812638898959,"CD19;FCRL3;LAPTM5;SAMSN1;CD22"
"Regulation Of B Cell Proliferation (GO:0030888)","6/44",4.31224260389751e-05,0.00224181742224107,0,0,10.745037333819,108.003392155114,"SASH3;PTPRC;FCRL3;CTLA4;CD22;TNFSF13B"
"Regulation Of Type II Interferon Production (GO:0032649)","8/87",4.34080825043556e-05,0.00224181742224107,0,0,6.92488863405813,69.5595707862009,"CD2;LAPTM5;PTPN22;TLR7;ISG15;INHBA;IL12RB1;FOXP3"
"Positive Regulation Of Defense Response To Virus By Host (GO:0002230)","5/28",5.02090086465996e-05,0.00251201946385019,0,0,14.7541229385307,146.055726632509,"DTX3L;STAT1;PTPN22;IL12RB1;PARP9"
"Inflammatory Response (GO:0006954)","13/236",5.17790249329805e-05,0.00251206723993036,0,0,4.02738288331266,39.7443303390067,"CCR1;CXCL9;CCL11;CCL22;TGFB1;F2R;CXCR4;CXCL10;CXCL11;BLNK;NOX4;TLR10;CCR5"
"Alpha-Beta T Cell Activation (GO:0046631)","4/15",5.56833402492696e-05,0.00262203022762002,0,0,24.6098094345517,241.073498568145,"RSAD2;TRBC2;TRBC1;CD3D"
"Regulation Of Toll-Like Receptor 7 Signaling Pathway (GO:0034155)","3/6",6.14730863809658e-05,0.00281195460845503,0,0,67.472602739726,654.275830368871,"RSAD2;PTPN22;LILRA4"
"Negative Regulation Of T Cell Activation (GO:0050868)","6/49",8.03092066103911e-05,0.00357152888286767,0,0,9.4932002896918,89.5173310364701,"CD86;SPN;CD80;LAPTM5;PTPN22;FOXP3"
"Regulation Of Interferon-Beta Production (GO:0032648)","6/50",9.01411712463698e-05,0.00390043284230914,0,0,9.27697389116074,86.4069737356945,"OAS1;OAS2;OAS3;IRF7;TLR7;ISG15"
"Leukocyte Tethering Or Rolling (GO:0050901)","4/17",9.48535517729272e-05,0.00399632990495938,0,0,20.8215701823949,192.873877859217,"SPN;SELPLG;ITGA4;SELL"
"Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051281)","5/33",0.000114153565426592,0.00468615021148649,0,0,12.1163793103448,109.99207882753,"CXCL10;CXCL9;CXCL11;CD19;F2R"
"Negative Regulation Of T Cell Receptor Signaling Pathway (GO:0050860)","4/18",0.000120543417699188,0.00482475029340999,0,0,19.3333333333333,174.454344103437,"SH2D1A;LAPTM5;PTPN22;EZR"
"Response To Lipopolysaccharide (GO:0032496)","10/159",0.000129193197008858,0.00504483679051661,0,0,4.60520428588249,41.2359276896627,"CD86;CXCL10;CXCL11;CXCL9;CD6;CARD17P;CD80;F2R;PTPN22;CCR5"
"Leukocyte Adhesion To Vascular Endothelial Cell (GO:0061756)","4/19",0.000150922359933301,0.00575301662507655,0,0,18.0435280641466,158.760402806056,"SPN;SELPLG;ITGA4;SELL"
"Positive Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071639)","3/8",0.000168385784630121,0.00626943351611217,0,0,40.4794520547945,351.736195106266,"CD84;OAS1;OAS3"
"Negative Regulation Of B Cell Activation (GO:0050869)","4/20",0.000186472019310845,0.0067180987325068,0,0,16.9149484536082,145.252541994553,"LAPTM5;CTLA4;INHBA;SAMSN1"
"Chemokine-Mediated Signaling Pathway (GO:0070098)","6/57",0.000188828509033608,0.0067180987325068,0,0,8.00081416649705,68.6043517254281,"CCR1;CXCL10;CXCL9;CXCL11;CCL11;CCL22"
"Regulation Of Defense Response To Virus By Host (GO:0050691)","5/37",0.000199796775073205,0.00695379645417829,0,0,10.5996767241379,90.2902704945143,"DTX3L;STAT1;PTPN22;IL12RB1;PARP9"
"Extracellular Structure Organization (GO:0043062)","8/109",0.000213486882795234,0.00718114266478009,0,0,5.4104253630938,45.7285643897904,"MMP11;MMP13;COL24A1;COL11A1;COL8A1;COL10A1;MMP10;MATN3"
"Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702)","5/38",0.00022731715568539,0.00718114266478009,0,0,10.2779519331243,86.2234279894443,"CD86;SASH3;PTPRC;LAPTM5;PTPN22"
"External Encapsulating Structure Organization (GO:0045229)","8/110",0.000227333698296269,0.00718114266478009,0,0,5.35710869713739,44.9412754824146,"MMP11;MMP13;COL24A1;COL11A1;COL8A1;COL10A1;MMP10;MATN3"
