"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_LDL_CLEARANCE",0.0511247443762781,0.0861451942740286,0.287857117255149,0.481465506725325,1.50780465485524,19,"SOAT1;NCEH1;CLTC;LIPA;AP2M1;AP2S1;NPC2;LSR"
"REACTOME_CYTOPROTECTION_BY_HMOX1",0.0514285714285714,0.0865489566613162,0.276500599254472,0.351590069463448,1.43529358667229,54,"HELZ2;COX7A2;NDUFA4;COX6C;HMOX2;HMOX1;HM13;CYCS;COX8A;NCOA2;TBL1XR1;COX7B;TGS1;COX7A2L;SIN3A;BACH1;COX5A;COX6B1;NFE2L2;COX6A1;MED1;PTK6;BLVRA;BLVRB;COX5B;ABCC1;CARM1;NCOA6;HDAC3;COX7C"
"REACTOME_BIOLOGICAL_OXIDATIONS",0.0521042084168337,0.0874675877283833,0.282013350011725,-0.25409961504894,-1.27045769736901,173,"CYP39A1;MAOA;ADH4;ADH6;GSTM5;FMO2;CYP4F12;MAOB;ADH1A;COMT;GLYAT;CYP2D6;MTARC1;AADAC;AOC3;CES3;ADH1C;GSTA4;GSTM2;MTARC2;CES1;CYP4F22;CYP46A1;GSTM4;CYP4A11;CYP3A4;GSTM1;CYP26B1;FMO3;CYP2C8;CYP11A1;ALDH1A1;GSTA1;ABHD14B;ADH1B;AS3MT;AOC2;MGST1;ACSM1;FMO1;ALDH3A1;CYP3A5;ADH5;CYP2W1;UGP2;CYP3A7;NCOA1;CYP3A43;CYB5R3;ACSM5;ALDH2;CYP26C1;POMC;SULT1C4;ACSS2;GSTT2B;ESD;ACSM4;CYP4F11;CYP8B1;GGT7;MGST2;GSTP1;GSTK1;ACY1;CYP2A7;SULT1A1"
"REACTOME_GPCR_LIGAND_BINDING",0.0521042084168337,0.0874675877283833,0.282013350011725,-0.220057800999597,-1.19749293556032,342,"NPY5R;SAA1;NPY2R;GALR1;ADCYAP1R1;NPY4R;ADORA1;GRM6;GPR17;VIPR1;PTCH1;ADRA2B;FZD9;CHRM3;ADRA1A;GABBR1;LHCGR;PENK;OXER1;GLP2R;CX3CL1;CXCL2;SSTR1;HTR2A;WNT11;PTH1R;PTCH2;TAS2R13;PTH2R;TACR1;HCAR2;EDNRB;BDKRB2;TAS2R3;TAS2R30;TAC1;GPER1;TAS2R19;HCAR3;INSL3;GNG11;WNT6;QRFP;NPY1R;TAS2R4;NTS;CXCL3;EDN3;PPBP;OXGR1;PROKR1;GNG7;TAS2R14;NPFF;TAS2R31;NMB;NMUR1;HTR6;ADM;TAS2R10;GLP1R;CRHR1;ADRB1;CCL28;DRD2;GNRH2;TAS1R1;ADRA1B;LPAR1;TAS2R50;FZD7;TAS2R20;GNB3;FZD4;C5;GRM7;CCR10;TAS2R46;ADORA2B;OXTR;ANXA1;ECE1;CXCL5;TSHR;RXFP4;LPAR3;CXCR2;HCAR1;SMO;CHRM1;AVPR2;GHRL;PLPPR1;OXT;GRM3;P2RY1;PTGFR;ADRB2;WNT2B"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE",0.0525328330206379,0.0880774364574874,0.271288554688953,0.349720592821054,1.42656200542359,53,"PIK3CG;PIP4K2A;RAB5A;PIP4K2C;PIK3R5;ARF1;PI4K2B;SYNJ1;PIK3R3;MTMR1;RAB14;PIP5K1A;PIK3CB;PLEKHA2;PLEKHA3;INPP4B;PI4K2A;PIK3CD;INPPL1;MTM1;PLEKHA1;MTMR14;MTMR6;INPP4A"
"REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI",0.0530612244897959,0.0888528330586893,0.282013350011725,0.298226065456075,1.34725496050338,99,"FN1;STAT1;PTPN1;GNG5;PPP2CA;ITGAV;GNG10;GNB2;PANX1;PDE4D;MMP14;SPP1;CHUK;PDPK1;GNB4;ADCY7;GNAS;NFKB1;RICTOR;PRKACB;P2RX7;GNGT2;CACNB3;PIK3CB;GNB1;RELA;PPP2R1A;CACNA1H;ADCY9;PPP2R2A;IKBKB;ITGA5;PIK3CD;AKT1;ANXA2;P2RY2;GNG13"
"REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM",0.0532544378698225,0.0890657347996535,0.276500599254472,0.448271938218834,1.47843740938739,23,"CCT5;CCT8;TCP1;CCT2;SSTR3;CCT4;CCT3;RAB3IP;BBS4"
"KEGG_SMALL_CELL_LUNG_CANCER",0.0535714285714286,0.0893741159830269,0.276500599254472,0.308867146968404,1.36534472236733,84,"FN1;XIAP;ITGAV;BIRC3;TRAF1;CCNE2;PIK3CG;TRAF5;BIRC2;CDKN1B;BCL2L1;E2F3;CHUK;CYCS;CDK2;PIK3R5;E2F2;NFKB1;RB1;PIK3R3;PIK3CB;CKS1B;MAX;CCNE1;E2F1"
"REACTOME_RAP1_SIGNALLING",0.0535714285714286,0.0893741159830269,0.276500599254472,0.50721516027499,1.48051717968473,15,"RAP1B;YWHAZ;RASGRP1;RAP1A;YWHAB"
"HALLMARK_UV_RESPONSE_DN",0.0537571661884714,0.0895731273449437,0.321775918075361,-0.263086173722127,-1.28074548836476,143,"VLDLR;NFIB;PTPN21;KALRN;MAGI2;ADGRL2;CAV1;MET;LAMC1;PPARG;CACNA1A;TGFBR3;PLCB4;DLC1;CDON;KIT;PRKCE;SCHIP1;F3;FBLN5;MAP2K5;RBPMS;PLPP3;MYC;CDC42BPA;RND3;MGMT;LPAR1;ID1;PRKAR2B;ADORA2B;TFPI;PEX14;PTPRM;PDGFRB;ARHGEF9;SDC2;PTGFR;MAP1B;SYNE1;IRS1;ADD3;MGLL;NR3C1;BMPR1A;ACVR2A;GRK5;TGFBR2;MTA1;SCN8A;PRKCA;ATP2B4;AKT3;SMAD3"
"REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS",0.0551181102362205,0.0916143188636562,0.271288554688953,0.374105301592848,1.40075078340642,37,"SDC1;GPC6;CHMP2B;CHMP4B;MAP1LC3B;CTSL;VHL;DDX5;SDC4;ZCRB1;RB1;BECN1;CHMP7;CHMP2A;CHMP4A;ISCU;GPC1;PIK3R4;GPC4;AGRN"
