"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_GLYCOSPHINGOLIPID_CATABOLISM",0.0026741776965587,0.00603817677547928,0.431707695803346,0.486403317161813,1.82052309834527,36,"M6PR;ARSB;GLB1;NEU1;GM2A;HEXB;PSAP;ARSG;ASAH1;GBA1;ASAH2;CTSA;SMPD3;HEXA;ARSI;SMPD4;NEU3;GLA;GALC;SUMF2"
"REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY",0.00268872448426114,0.00606087057656189,0.431707695803346,0.49843000185976,1.76535384166265,30,"STAT1;SKIL;UBE2D1;SERPINE1;TRIM33;PARP1;HDAC1;SMAD7;UBE2D3;RNF111;TGIF1;TGIF2;USP9X;UBC;MAPK1;SMURF2;UBB"
"REACTOME_MAPK1_MAPK3_SIGNALING",0.00271529290801866,0.00611054230385501,0.431707695803346,0.276018230449378,1.46873282133296,258,"KRAS;FN1;RAP1B;ACTB;PSMA5;PPP2CA;NRAS;PSMC2;PSMA6;PSMA4;LYPLA1;IL2RB;CSK;IL2RG;PSMA2;DUSP10;PTPN7;PAQR3;CUL3;RANBP9;DUSP5;IQGAP1;ACTG1;PSMD6;RASGRP1;RASAL3;PSMA1;DUSP2;CDK1;RAP1A;PSMD14;PSMD12;PPP1CC;PSMB4;FLT3;PSMD1;YWHAB;SHOC2;RASGRF1;PSMB1;BCL2L1;PSMA3;LAMTOR2;RBX1;PSMD2;PSMB2;PSMC6;ADRM1;PSMC4;PSMD7;LAT;SPRED3;IL2RA;GRB2;PSMA7;PPP2R5E;SRC;DLG3;ARTN;PSMB3;PIK3CB;ZDHHC9;SEM1;PSMB5;DUSP16;CSF2RB;CSF2RA;KITLG;PSMD8;DUSP8;PSMD11;JAK3;ABHD17C;PSMD3;PPP2R1A;FGF18;FGFR3;UBC;GRIN2D;MAPK1;ERBB2;FRS2;BRAP;ERBB3;PSMC5;PSMC3;RASGRP3;KSR2;NRG4;RGL2;PDE6D;PSMB7;GOLGA7;FGG;SHC1;PSMC1;UBB"
"REACTOME_LAGGING_STRAND_SYNTHESIS",0.00274787738377,0.00617356452220326,0.431707695803346,0.575931374258334,1.82491362630507,20,"POLD4;RPA3;RFC4;PCNA;PRIM1;DNA2;FEN1;RFC5;RPA2;PRIM2;RFC2"
"REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR",0.00275891207119968,0.00618804238265752,0.431707695803346,0.561518145142029,1.81481829046762,21,"POLD4;RPA3;POLB;RFC4;PCNA;FEN1;RFC5;RPA2;POLE3;RFC2;APEX1"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.00281778056953491,0.00630958174042036,0.431707695803346,0.497098944891908,1.76063946547562,30,"MMP11;MMP10;MMP13;MMP1;CTSK;MMP14;MMP2;MMP3;TPSAB1;CTSV;MMP17;TIMP1"
"REACTOME_RAC3_GTPASE_CYCLE",0.00287402369467533,0.00641421182189129,0.431707695803346,0.357050921913496,1.61301042202058,93,"ERBIN;DOCK10;ABI1;SNAP23;DEPDC1B;CYBB;VANGL1;CYBA;YKT6;NCKAP1L;PREX1;ARHGDIB;TIAM1;ARAP2;IL32;CDC42;VRK2;PAK2;LMAN1;PAK1;RACGAP1;TFRC;TMPO;LEMD3;ARHGAP15;RAB7A;NCF1;VAV2;ARHGAP1"
"REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS",0.00287011800881145,0.00641421182189129,0.431707695803346,0.519380540372148,1.82417403982537,29,"TNFRSF9;TNFSF13B;TNFSF8;TNFRSF18;CD70;CD27;TNFRSF11B;FASLG;TNFRSF4;TNFSF9;TNFRSF13B;TNFSF14;LTA"
"REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE",0.00287922292426076,0.00641519421802232,0.431707695803346,0.474909640477166,1.79940783590565,38,"UBE2D1;CCNE2;CDKN1A;UBE2S;UBE2C;CDKN1B;E2F3;CDK2;UBE2E1;ANAPC11;E2F2;DAXX;RB1;CCNE1;E2F1;CDC23"
"REACTOME_SEALING_OF_THE_NUCLEAR_ENVELOPE_NE_BY_ESCRT_III",0.00290381802457049,0.00645931798204789,0.431707695803346,0.496425360852913,1.75825374598344,30,"TUBB3;TUBA1C;CHMP2B;CHMP4B;TUBA4B;TUBA1B;SPAST;TUBA1A;IST1;CHMP7;TUBA4A;CHMP2A;CHMP4A;TUBB8;LEMD2;TUBB4B;TUBB1"
