"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Erythrose 4-Phosphate/Phosphoenolpyruvate Family Amino Acid Catabolic Process (GO:1902222)","1/5",0.105961056197431,0.691571790147271,0,0,11.0593891402715,24.8248299460988,"TAT"
"Striated Muscle Hypertrophy (GO:0014897)","1/5",0.105961056197431,0.691571790147271,0,0,11.0593891402715,24.8248299460988,"MYOC"
"Hepatocyte Differentiation (GO:0070365)","1/5",0.105961056197431,0.691571790147271,0,0,11.0593891402715,24.8248299460988,"PCK1"
"Protein C-linked Glycosylation Via 2'-alpha-mannosyl-L-tryptophan (GO:0018406)","1/5",0.105961056197431,0.691571790147271,0,0,11.0593891402715,24.8248299460988,"DPY19L2"
"Protein C-linked Glycosylation Via Tryptophan (GO:0018317)","1/5",0.105961056197431,0.691571790147271,0,0,11.0593891402715,24.8248299460988,"DPY19L2"
"Negative Regulation Of Cardiac Muscle Cell Differentiation (GO:2000726)","1/5",0.105961056197431,0.691571790147271,0,0,11.0593891402715,24.8248299460988,"SOX6"
"Fatty Acid Oxidation (GO:0019395)","3/52",0.10798100384017,0.691571790147271,0,0,2.71447124304267,6.04186997793476,"ADH4;ECHDC2;PPARGC1A"
"Cellular Response To Organic Substance (GO:0071310)","4/82",0.10877065013195,0.691571790147271,0,0,2.27545120028036,5.0481197542705,"GHR;CLEC3B;MME;AKAP6"
"Regulation Of MAP Kinase Activity (GO:0043405)","5/114",0.109369061660125,0.691571790147271,0,0,2.03678103137698,4.50745188229715,"GHR;NTRK3;NTF3;SPRY2;EGFR"
"Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)","12/364",0.112059574660632,0.691571790147271,0,0,1.51906243408564,3.32480936777612,"NTRK2;GSN;RHOXF1;CITED1;TESC;NTRK3;PKP1;SPRY2;HOXD3;PPARGC1A;POU3F3;FGF10"
"Cardiac Muscle Cell Development (GO:0055013)","2/26",0.112367193468879,0.691571790147271,0,0,3.69104308390023,8.06855838293022,"MYH11;SORBS2"
"Actin Polymerization Or Depolymerization (GO:0008154)","3/53",0.112680509082549,0.691571790147271,0,0,2.66004545454545,5.80740809228215,"GSN;FAM107A;ARHGAP6"
"Negative Regulation Of Protein Phosphorylation (GO:0001933)","6/149",0.114091173019885,0.691571790147271,0,0,1.86401241778816,4.04631872517878,"MLXIPL;SFRP1;NTRK3;NTF3;SPRY2;DMD"
"Skeletal System Development (GO:0001501)","6/149",0.114091173019885,0.691571790147271,0,0,1.86401241778816,4.04631872517878,"GDF10;MYOC;ZBTB16;ALX4;HOXD3;SOX6"
"Neuron Development (GO:0048666)","6/150",0.116770653445355,0.691571790147271,0,0,1.85097254004577,3.97504403762575,"NTRK2;NLGN1;TNXB;MYOC;LGI4;DMD"
"Activation Of Phospholipase C Activity (GO:0007202)","2/27",0.119653459249382,0.691571790147271,0,0,3.54321995464853,7.5228071244892,"ARHGAP6;EGFR"
"Regulation Of Kinase Activity (GO:0043549)","4/85",0.119817084093734,0.691571790147271,0,0,2.19083776259175,4.64849546182582,"CDKN1C;NTRK2;NTRK3;EGFR"
"Regulation Of Intracellular Signal Transduction (GO:1902531)","10/297",0.125438134997648,0.691571790147271,0,0,1.55064335202903,3.219046576649,"NTRK2;NLGN1;PHLPP1;MYOC;NTRK3;AKAP6;KALRN;ARHGAP6;SLC6A2;EGFR"
"Negative Regulation Of Dendritic Spine Development (GO:0061000)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"NLGN1"
"Regulation Of Collagen Fibril Organization (GO:1904026)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"TNXB"
"Negative Regulation Of Heart Rate (GO:0010459)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"SPX"
"Negative Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901533)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"TCF15"
"Regulation Of Digestive System Process (GO:0044058)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"FGF10"
"Negative Regulation Of Lymphocyte Differentiation (GO:0045620)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"SFRP1"
"Regulation Of Lens Fiber Cell Differentiation (GO:1902746)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"SPRY2"
"Negative Regulation Of Ruffle Assembly (GO:1900028)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"KANK1"
"Norepinephrine Transport (GO:0015874)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"SLC6A2"
"Cardiac Pacemaker Cell Development (GO:0060926)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"TBX18"
"Catecholamine Uptake (GO:0090493)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"SLC6A2"
"Regulation Of Saliva Secretion (GO:0046877)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"FGF10"
"Regulation Of Skeletal Muscle Contraction (GO:0014819)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"DMD"
"Cellular Response To Caffeine (GO:0071313)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"RYR3"
"Regulation Of Systemic Arterial Blood Pressure By Renin-Angiotensin (GO:0003081)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"ACE2"
"Cellular Response To Prostaglandin E Stimulus (GO:0071380)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"SFRP1"
"Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0014808)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"RYR3"
"Response To Caffeine (GO:0031000)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"RYR3"
"Positive Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Signaling Pathway (GO:2001269)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"GSN"
"Positive Regulation Of Fibroblast Apoptotic Process (GO:2000271)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"SFRP1"
"Excitatory Chemical Synaptic Transmission (GO:0098976)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"GRIN2B"
"Synaptic Transmission, Dopaminergic (GO:0001963)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"SLC6A2"
"Positive Regulation Of Membrane Depolarization (GO:1904181)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"MYOC"
"Positive Regulation Of Multicellular Organism Growth (GO:0040018)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"GHR"
